Model,Test_Accuracy,Test_Loss,Parameters,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Confusion_Matrix
VGG16,0.9811977744102478,0.05712231993675232,15108929,0.9828080229226361,0.978601997146933,0.9807005003573982,0.9796747967479674,0.9836734693877551,0.9816700610997963,"[[686, 15], [12, 723]]"
MobileNet,0.9860724210739136,0.03452802076935768,3885249,0.9885222381635581,0.9828815977175464,0.9856938483547926,0.9837618403247632,0.9891156462585035,0.9864314789687925,"[[689, 12], [8, 727]]"
ResNet50,0.941504180431366,0.2336059808731079,23850113,0.9904610492845787,0.8887303851640513,0.9368421052631579,0.9033457249070632,0.9918367346938776,0.9455252918287937,"[[623, 78], [6, 729]]"
Xception,0.976323127746582,0.07301401346921921,21123881,0.9757489300998573,0.9757489300998573,0.9757489300998573,0.9768707482993197,0.9768707482993197,0.9768707482993197,"[[684, 17], [17, 718]]"
DenseNet121,0.984679639339447,0.04455538094043732,7168833,0.9856938483547926,0.9828815977175464,0.9842857142857142,0.9837177747625508,0.9863945578231292,0.9850543478260869,"[[689, 12], [10, 725]]"
LSTM,0.9791086316108704,0.05008002743124962,232577,0.9897810218978103,0.9671897289586305,0.9783549783549784,0.9693741677762983,0.9904761904761905,0.9798115746971736,"[[678, 23], [7, 728]]"
Bi-LSTM,0.988161563873291,0.031041020527482033,199809,0.9803370786516854,0.9957203994293866,0.9879688605803255,0.9958563535911602,0.9809523809523809,0.988348183687457,"[[698, 3], [14, 721]]"
GRU,0.9867687821388245,0.04086685553193092,200065,0.9913544668587896,0.9814550641940085,0.9863799283154122,0.9824797843665768,0.9918367346938776,0.987136086662153,"[[688, 13], [6, 729]]"
Proposed_Model,0.9993036389350891,0.006580359302461147,1858977,1.0,0.9985734664764622,0.9992862241256245,0.998641304347826,1.0,0.9993201903467028,"[[700, 1], [0, 735]]"
Residual_Only,0.9972144961357117,0.010560916736721992,2794913,0.9971469329529244,0.9971469329529244,0.9971469329529244,0.9972789115646259,0.9972789115646259,0.9972789115646259,"[[699, 2], [2, 733]]"
Inception_Only,0.9958217144012451,0.011165295727550983,909473,0.9985652797704447,0.992867332382311,0.9957081545064378,0.993234100135318,0.998639455782313,0.9959294436906377,"[[696, 5], [1, 734]]"
Baseline_CNN,0.9930362105369568,0.020465252920985222,422785,0.9971223021582734,0.9885877318116976,0.9928366762177651,0.9892037786774629,0.9972789115646259,0.9932249322493224,"[[693, 8], [2, 733]]"
